STATUS,STATUS_zh,cEXT,cNEU,cAGR,cCON,cOPN
"Ross Geller: No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?Chandler Bing: Sometimes I wish I was a lesbian... (They all stare at him.) Did I say that out loud?Ross Geller: I told mom and dad last night, they seemed to take it pretty well.Monica Geller: Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what? A wrong number?Ross Geller: Sorry.Joey Tribbiani: Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?(Ross gestures his consent.)Joey Tribbiani: Strip joint! C'mon, you're single! Have some hormones!Ross Geller: I don't want to be single, okay? I just... I just- I just wanna be married again!(Rachel enters in a wet wedding dress and starts to search the room.)",羅斯蓋勒：沒有!!好的？！為什麼每個人都在對此進行修復？她不知道，我應該怎麼知道？錢德勒Bing：有時我希望我是女同性戀......（他們都盯著他。）我說大聲嗎？羅斯蓋勒：我昨晚告訴媽媽和爸爸，他們似乎很好地拍攝它。哦，真的，所以那個歇斯底里的電話，我從一個女人上午3:00來看，“我永遠不會有孫子，我永遠不會有孫子。”是什麼？錯誤的號碼？羅斯蓋勒：抱歉.joey tribbiani：好的羅斯，看。你現在感到很多痛苦。你生氣了。你傷害了。我可以告訴你答案是什麼嗎？（羅斯姿態他的同意。）Joey Tribbiani：剝離聯合！來吧，你是單身！有一些激素！羅斯蓋勒：我不想單身，好嗎？我只是......我只是 - 我只是想再結婚！（雷切爾進入濕婚紗，開始搜索房間。）,0,1,1,1,0
"Monica Geller: Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.Chandler Bing: (imitating the characters) Tuna or egg salad? Decide!Ross Geller: (in a deep voice) I'll have whatever Christine is having.Rachel Green: (on phone) Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!(The scene on TV has changed to show two women, one is holding her hair.)Phoebe Buffay: If I let go of my hair, my head will fall off.Chandler Bing: (re TV) Ooh, she should not be wearing those pants.Joey Tribbiani: I say push her down the stairs.",Monica Geller：現在我猜他買了她的大管風琴，她真的不高興。決定！羅斯蓋勒:(在深刻的聲音中）我會有什麼克里斯汀。綠色:(在電話）爸爸，我只是......我不能嫁給他！對不起。我只是不愛他。好吧，對我來說很重要！（電視上的場景已經改變了展示了兩個女人，一個人抱著她的頭髮。哦，她不應該穿那些褲子.Joey Tribbiani：我說將她推到樓梯上。,1,1,1,0,1
"Ross Geller: (squatting and reading the instructions) I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.(Joey and Chandler are finishing assembling the bookcase.)Joey Tribbiani: I'm thinking we've got a bookcase here.Chandler Bing: It's a beautiful thing.Joey Tribbiani: (picking up a leftover part) What's this?Chandler Bing: I would have to say that is an 'L'-shaped bracket.Joey Tribbiani: Which goes where?Chandler Bing: I have no idea.(Joey checks that Ross is not looking and dumps it in a plant.)Joey Tribbiani: Done with the bookcase!Chandler Bing: All finished!Ross Geller: (clutching a beer can and sniffing) This was Carol's favorite beer. She always drank it out of the can, I should have known.Joey Tribbiani: Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.Chandler Bing: Yes, please don't spoil all this fun.Joey Tribbiani: Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",羅斯蓋爾:(蹲和閱讀說明）我應該用一堆這些小蟲子，我應該把一個帶束縛的東西附加到側面。我沒有束縛的東西，我看不到任何令人討意的人，無論如何 - 我都不能感受到我的腿。（Joey和Chandler正在整理裝配書櫃。）Joey Tribbiani：我想在這裡我們有一個書櫃.Chandler Bing：這是一個美麗的東西。傑瑞·喬布尼亞語:(拿起一個剩餘的部分）這是什麼？錢德勒Bing：我不得不說那是一個'L'形的括號.joey tribbiani：哪個地方？錢德勒Bing：我不知道。 （Joey檢查羅斯沒有在植物中拋棄它。她總是從罐裡喝它，我應該知道.joey tribbiani：嘿嘿嘿嘿嘿嘿，如果你要從那個東西開始，我們在這裡outa.chandler bing：是的，請不要破壞所有這些樂趣.joey tribbiani：羅斯，讓我問你一個問題。她得到了家具，立體聲，好電視 - 你得到了什麼？,0,1,0,0,0
"Monica Geller: Oh my God!Paul: I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?Monica Geller: My brother's going through that right now, he's such a mess. How did you get through it?Paul: Well, you might try accidentally breaking something valuable of hers, say her-Monica Geller: -leg?",Monica Geller：哦，我的上帝！保羅：我知道，我知道，我是個白痴。我想我應該抓住一周四次和五次。我的意思是，牙齒有多乾淨？Monica Geller：我兄弟現在經歷了那個爛攤子。你是怎麼通過它的？保羅：嗯，你可能會嘗試意外地打破她的有價值的東西，說Her-Monica Geller：-Leg？,1,0,1,0,1
"Paul: Ever since she walked out on me, I, uh...Monica Geller: What?..... What, you wanna spell it out with noodles?Paul: No, it's, it's more of a fifth date kinda revelation.Monica Geller: Oh, so there is gonna be a fifth date?Paul: Isn't there?Monica Geller: Yeah... yeah, I think there is. -What were you gonna say?Paul: Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. (Monica takes a sip of her drink.) ...Sexually.Monica Geller: (spitting out her drink in shock) Oh God, oh God, I am sorry... I am so sorry...Paul: It's okay...Monica Geller: I know being spit on is probably not what you need right now. Um... how long?",保羅：自從她走出去我，我，呃...... Monica Geller：什麼？......你想用麵條拼出來嗎？保羅：不，它是，它更多的是第五次新聞.monica geller：哦，所以有第五個日期？保羅：不在嗎？莫妮卡蓋勒：是的......是的，我想有。 - 你要說什麼？保羅：嗯，永遠ev -...自從她離開我，嗯，我沒有能夠，呃，表演。 （莫妮卡喝了她的飲料。）......性別。 。..Monica geller：我知道吐了吐，可能不是你現在所需要的。嗯......多久了？,1,1,1,0,1
"Rachel Green: Isn't this amazing? I mean, I have never made coffee before in my entire life.Chandler Bing: That is amazing.Joey Tribbiani: Congratulations.Rachel Green: Y'know, I figure if I can make coffee, there isn't anything I can't do.Chandler Bing: If can invade Poland, there isn't anything I can't do.Joey Tribbiani: Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... (Joey and Chandler taste the coffee, grimace, and pour it into a plant pot.) Although actually I'm really not that hungry...",雷切爾綠色：這不是驚人嗎？我的意思是，在我的整個生命之前，我從來沒有做過咖啡Do.Chandler Bing：如果可以侵入波蘭，還沒有任何我不能做的事情.joey tribbiani：聽，雖然你在滾動，如果你覺得你必須像西部煎蛋捲一樣，... （Joey和Chandler品嚐咖啡，鬼臉，並將其倒入植物盆中。）雖然其實我真的不是那麼飢餓......,0,0,0,0,0
"Paul: Yeah. (They kiss) Thank you. (Exits)Joey Tribbiani: That wasn't a real date?! What the hell do you do on a real date?Monica Geller: Shut up, and put my table back.All: Okayyy! (They do so.)Chandler Bing: All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...Rachel Green: So, like, you guys all have jobs?Monica Geller: Yeah, we all have jobs. See, that's how we buy stuff.Joey Tribbiani: Yeah, I'm an actor.Rachel Green: Wow! Would I have seen you in anything?Joey Tribbiani: I doubt it. Mostly regional work.",保羅：是的。 （他們親吻）謝謝。 （退出）Joey Tribbiani：那不是真正的日期嗎？！你到底在真正的日期怎麼樣？Monica Geller：閉嘴，然後把我的桌子放回返回.All：Okeyyy！ （他們這樣做。）Chandler Bing：好的，孩子們，我得去上班。如果我沒有輸入這些數字，......它沒有大大差異......雷切爾綠色：所以，像你們一樣，你們都有工作？Monica Geller：是的，我們都有工作。看，這就是我們購買的東西。Joey Tribbiani：是的，我是一個演員。羅阿拉爾綠色：哇！我會在任何事情上見過你嗎？喬伊·················特比亞尼：我懷疑它。主要是區域工作。,0,1,0,0,0
"Joey Tribbiani: Look, it was a job all right?Chandler Bing: 'Look, Gippetto, I'm a real live boy.'Joey Tribbiani: I will not take this abuse. (Walks to the door and opens it to leave.)Chandler Bing: You're right, I'm sorry. (Burst into song and dances out of the door.) ""Once I was a wooden boy, a little wooden boy...""Joey Tribbiani: You should both know, that he's a dead man. Oh, Chandler? (Starts after Chandler.)Monica Geller: So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.Rachel Green: I can see that. You look like you slept with a hanger in your mouth.Monica Geller: I know, he's just so, so... Do you remember you and Tony DeMarco?Rachel Green: Oh, yeah.Monica Geller: Well, it's like that. With feelings.Rachel Green: Oh wow. Are you in trouble.Monica Geller: Big time!Rachel Green: Want a wedding dress?                Hardly used.",Joey Tribbiani：看，這是一項工作嗎？錢德勒Bing：'看，Gippetto，我是一個真正的活男孩.'joey tribbiani：我不會濫用這種虐待。 （走到門上，打開它離開。）錢德勒Bing：你是對的，對不起。 （迸發出歌曲和舞蹈出門。）“一旦我是一個木男孩，一個小木男孩......”Joey Tribbiani：你們都應該知道，他是一個死人。哦，錢德勒？ （在錢德勒後開始。）Monica Geller：那你今天怎麼樣？你睡得好嗎？談談巴里？我不能停止微笑。格林綠色：我可以看到。你看起來像你嘴裡的衣架睡著了。我知道，他只是所以，所以......你還記得你和Tony Demarco嗎？Rachel Green：哦，yeah.monica geller：好吧，它就是這樣。隨著感受的.Rachel Green：哦哇。你在麻煩的時候.Monica Geller：大時間！雷切爾綠色：想要一件婚紗？幾乎沒有使用過。,0,1,1,0,1
"Joey Tribbiani: I can't believe what I'm hearing here.Phoebe Buffay: (sings) I can't believe what I'm hearing here...Monica Geller: What? I-I said you had a-Phoebe Buffay: (sings) What I said you had...Monica Geller: (to Phoebe) Would you stop?Phoebe Buffay: Oh, was I doing it again?All: Yes!Monica Geller: I said that you had a nice butt, it's just not a great butt.",喬伊·謝維亞人：我無法相信我在這裡聽到的東西。巴菲 - （唱歌）我無法相信我在這裡聽到的...... Monica Geller：什麼？ II說你有A-Phoebe Buffay :(唱歌）我所說的...... Monica Geller :(給Phoebe）你會停下來嗎？Phoebe Buffay：哦，是我又這樣做了嗎？所有：是的！Monica Geller：我說你有一個漂亮的屁股，它只是不是很棒的屁股。,0,0,1,1,0
"Joey Tribbiani: I can't believe what I'm hearing here.Phoebe Buffay: (sings) I can't believe what I'm hearing here...Monica Geller: What? I-I said you had a-Phoebe Buffay: (sings) What I said you had...Monica Geller: (to Phoebe) Would you stop?Phoebe Buffay: Oh, was I doing it again?",喬伊·謝維亞人：我無法相信我在這裡聽到的東西。巴菲 - （唱歌）我無法相信我在這裡聽到的...... Monica Geller：什麼？我說你有A-Phoebe Buffay :(唱歌）我所說的...... Monica Geller :(給Phoebe）你會停止嗎？Phoebe Buffay：哦，我是再做嗎？,0,1,0,1,0
