STATUS,STATUS_zh,cEXT,cNEU,cAGR,cCON,cOPN
likes the sound of thunder.,喜歡雷聲的聲音。,0,1,0,0,1
is so sleepy it's not even funny that's she can't get to sleep.,這麼昏昏欲睡，這甚至沒有搞笑，這使她無法入睡。,0,1,0,0,1
"is sore and wants the knot of muscles at the base of her neck to stop hurting. On the other hand, YAY I'M IN ILLINOIS! <3",好痛，並希望在她脖子的底部的肌肉結來停止疼痛。另一方面，我在伊利諾伊州！ <3,0,1,0,0,1
likes how the day sounds in this new song.,喜歡這首新歌的日子聽起來如何。,0,1,0,0,1
is home. <3,是家。 <3,0,1,0,0,1
www.thejokerblogs.com,www.thejokerblogs.com.,0,1,0,0,1
"saw a nun zombie, and liked it. Also, *PROPNAME* + Tentacle!Man + Psychic Powers = GREAT Party.",看到一個尼姑殭屍，喜歡它。此外，* Provname * +觸手！人 + 精神力量 =偉大的派對。,0,1,0,0,1
is in Kentucky. 421 miles into her 1100 mile journey home.,是在肯塔基州。 421英里進入她1100英里的房屋回家。,0,1,0,0,1
was about to finish a digital painting before her tablet went haywire. Is now contemplating the many ways she wishes to exact her revenge on faulty technology.,在她的平板電腦徘徊之前，即將完成一幅數字繪畫。現在正在考慮她希望確切她報復錯誤技術的許多方式。,0,1,0,0,1
is celebrating her new haircut by listening to swinger music and generally looking like a doofus.,通過聽劇情音樂並一般看起來像廢棄物，慶祝她的新髮型。,0,1,0,0,1
has a crush on the Green Lantern.,迷戀綠色燈籠。,0,1,0,0,1
has magic on the brain.,在大腦上有魔法。,0,1,0,0,1
"saw Transformers, Up, and Year One this week. Good movie overload. :D",這週看到了變壓器，上升，和一年。好電影過載。 ：D.,0,1,0,0,1
Who wants to meet up on schedule pick-up day at Oviedo?,誰想在Oviedo的時間表接送日見面？,0,1,0,0,1
"desires the thrill of inspiration. Also, money.",渴望靈感的興奮。也是錢。,0,1,0,0,1
is going to bed at 9:30! Yeah!,在9:30睡覺！是的！,0,1,0,0,1
"is reading, admiring her permit, and occasionally glancing at her ner McDonald's uniform.",正在閱讀，欣賞她的許可證，偶爾瞥見她的麥當勞的製服。,0,1,0,0,1
thinks intangibility should be an option in reality settings.,認為無形是現實設置中的選項。,0,1,0,0,1
"is tired. *PROPNAME*, let me go to sleep pl0x.",累了。 * propname *，讓我去睡覺pl0x。,0,1,0,0,1
is discovering the many flavors of insomnia.,正在發現許多失眠的口味。,0,1,0,0,1
"is watching cousin play computer game on televison box thing. Also, sleepy.",正在觀看堂兄在電視盒上玩電腦遊戲。也是困了。,0,1,0,0,1
Why is it I'm only getting the urge to draw when I have stuff to do for school? D;,為什麼我只是在我有東西上學時拿出汲取的衝動？ D;,0,1,0,0,1
Who'da thought a single text message could be enough to change my mind?,誰認為單一的短信可能足以改變主意？,0,1,0,0,1
wishes to develop a super power that prevents her from needing to sleep.,希望開發一個超級力量，可以防止她需要睡覺。,0,1,0,0,1
"TELL ME WHAT TO DRAW, PLOX.",告訴我什麼繪製，Plox。,0,1,0,0,1
"found a bunny, bunny died, buried bunny, now is drawing.",找到了一個兔子，兔子去世了，埋葬了兔子，現在是繪圖。,0,1,0,0,1
<3,<3,0,1,0,0,1
is just about insane by now.,現在就像瘋了。,0,1,0,0,1
wants to sleep eight hours tonight. And so she shall.,想今晚睡了八小時。所以她應該。,0,1,0,0,1
"really hates hormones and emotions right now. Well, has hated them a lot recently. Goodness.",現在真的討厭荷爾蒙和情緒。好吧，最近討厭他們了。善良。,0,1,0,0,1
has a watch that matches her glasses. She wishes she hadn't spazzed with glee when she saw it in the store.,有一款與玻璃相匹配的手錶。當她在商店裡看到它時，她希望她沒有與Glee一起滑下來。,0,1,0,0,1
"loved 9! Allegory, symbolism, talking ragdolls, satire, and explosions! Yes!",愛9！寓言，象徵主義，說話的ragdolls，satire和爆炸！是的！,0,1,0,0,1
can't sit on her futon because she knows as soon as she does she'll lie down and pass out. Uncomfortable rolly desk chair it is. :(,不能坐在她的蒲團上，因為她會盡快知道她會躺下並昏倒。它是不舒服的羅莉桌椅。 :(,0,1,0,0,1
"should spend less time writing chapters for the story she'll never finish, and try reading more books. Preferably, during the daytime, and not at 3:00 AM.",應該花費更少的時間寫作章節，因為她永遠不會完成的故事，並嘗試閱讀更多書籍。最好在白天，而不是凌晨3點。,0,1,0,0,1
is watching kid's cartoons and wishing she weren't so old.,正在看孩子的漫畫，並希望她不是那麼老。,0,1,0,0,1
"has work tomorrow, and hopes they teach her how to use the cash register. :D",明天有工作，並希望他們教她如何使用收銀機。 ：D.,0,1,0,0,1
"is grateful she did most of her work during her wait for a ride home this afternoon and then during the Open House. Sleeeep, she beckons.",在她在今天下午等待乘坐回家的時候，她做了大部分工作，然後在開放的房子裡。她招手了。,0,1,0,0,1
has a really confusing internal dilemma. She also wonders if anyone can guess what it is.,真正令人困惑的內部困境。如果有人能猜到它是什麼，她也會奇蹟。,0,1,0,0,1
thinks she needs to stop leaving so many pictures half-done before getting new ideas.,認為她在獲得新想法之前，她需要停止留下這麼多的照片。,0,1,0,0,1
"has grown weary of drawing her paranoid, soldier//housewife Jynx character in comic form, and must thusly go to sleep to replenish her desire to work tirelessly on a mere audition.",在漫畫形式上造成了drawing drawing偏執，士兵的士兵jynx字符，並因此必須睡覺，以補充她的願望，不僅僅是在一次試鏡上孜孜不倦地工作。,0,1,0,0,1
is seeing 9 tonight... maybe?,今晚見過9 ......也許？,0,1,0,0,1
"is going to work on comics, then crash into her futon with all the love unconsciousness deserves.",將在漫畫中努力，然後墜入她的蒲團，所有的愛情都是值得的。,0,1,0,0,1
WEEKEND. I LOVE YOU.,週末。我愛你。,0,1,0,0,1
"is listening to Relient K and thinking about plants, lawyers, and internships.",正在傾聽關鍵百分之一，思考植物，律師和實習。,0,1,0,0,1
"is drawing instead of homeworking. :| This is fun, but not good.",是繪圖而不是家庭作業。 ：|這很有趣，但不好。,0,1,0,0,1
will sleep like a champion tonight.,今晚會像冠軍一樣睡覺。,0,1,0,0,1
"dishes, webcomics, laziness, internal lack of disruption. Alright.",菜餚，網絡信函，懶惰，內部缺乏中斷。好的。,0,1,0,0,1
"wishes she weren't ticklish sometimes. Right now, though, is not one of those times. :)",希望她有時不會癢癢。然而，現在，不是那些時代之一。 :),0,1,0,0,1
has a magical ceiling.,有一個神奇的天花板。,0,1,0,0,1
"went to bed early, slept in, and still feels like she hasn'tgotten a proper night's sleep.",早點睡覺，睡在，仍然感覺她已經睡不了個睡眠。,0,1,0,0,1
"got taught how to use the register (<3!!!~), enjoyed (500) Days of Summer, and is looking forward to going to the beach Monday.",被教導瞭如何使用寄存器（<3 !!!〜），享受（500）天的夏季，並期待週一去海灘。,0,1,0,0,1
hates FML on principle.,原則上討厭FML。,0,1,0,0,1
realizes traditional media hate her and has shunned her penvcils in favor of the tablet. That'll learn 'em.,實現傳統媒體討厭她，並避開了她的彭爾維爾支持平板電腦。那將學習他們。,0,1,0,0,1
"was all prepared to do her weekend homeowrk the morning it was due, but realized she left the necessary binder at school. FFFFFFFFFFFFF-",一切都準備好了她週末的興趣早上它到期，但意識到她在學校留下了必要的活頁夾。 fffffffffffff-,0,1,0,0,1
"has early work blargedy-argdey-blah. Minimuuum waaaage, I looove youuu.",有早起的工作倒影 - argdey-blah。 Sinaluum waaaage，我懶得佑uu。,0,1,0,0,1
"Far away // This ship has taken me so far away... Goshdarnit, Muse, stop being so awesome.",很遠的//這艘船已經讓我到目前為止......古山雀，繆斯，停止如此令人敬畏。,0,1,0,0,1
is a little excited to see the talent show.,看到人才展示有點興奮。,0,1,0,0,1
"is tired. She would sleep, but there's a cat on her desk that requires supervision.",累了。她會睡覺，但是她的桌子上有一隻貓需要監督。,0,1,0,0,1
"I don't hate you.// Well, you found me. Congratulations. Was it worth it?// The only thing you've managed to break so far is my heart.// This isn't brave. It's murder.// What did I ever do to you?// You don't care, do you.// Please proceed to Andorid Hell.",我不討厭你.//嗯，你找到了我。恭喜。它值得嗎？//到目前為止你唯一設法打破的是我的心.//這不是勇敢的。這是謀殺罪.//我對你做了什麼？//你不在乎，你是否進入安羅里德地獄。,0,1,0,0,1
"needs a stupid, fluffy book to read inbetween experiences of normalcy.",需要一個愚蠢的蓬鬆的書來讀到正常的體驗。,0,1,0,0,1
will be up very late so she can ride with her dad to the airport to pick up her mamacita from a (as of now) 11:20 PM landing in from Illinois.,將很晚晚了，所以她可以和她爸爸一起去機場，從伊利諾伊州的下午11:20加上她的mamacita。,0,1,0,0,1
"IS IN COMPLETE LOVE WITH THE BLACKBERRY HER MOM JUST SURPRISED HER WITH. AND YES. SHE IS SO EXCITED, THAT CAPS ARE COMPLETELY NECESSARY. <3 <3 <3 <3 <3<3",完全愛著黑莓她的媽媽剛剛驚訝她。是的。她很興奮，那個帽子完全是必要的。 <3 <3 <3 <3 <3 <3,0,1,0,0,1
"is looking forward to early January. Not the birthday per se, but the potential to meet a good friend. :)",期待1月初。不是生日本身，而是遇到一個好朋友的潛力。 :),0,1,0,0,1
needs to stop listening to her normal playlist if she wants to stop waking up feeling like she's missed something big.,如果她想停止醒來的感覺，需要停止聽她的正常播放列表。,0,1,0,0,1
spews toxic gas into your personal air bubble. It's super effective!,將有毒氣體噴入您的個人氣泡。這是超級有效的！,0,1,0,0,1
"has a comfortably comfy and mildly oversized cotton jacket from Wal*Mart. Yay, it's so soft. <3 <3 <3",來自Wal * Mart擁有舒適的舒適和溫和的超大棉夾克。耶，它太軟了。 <3 <3 <3,0,1,0,0,1
"thinks Oviedo play was awesome (as it should be. Sleep, though-- she beckons sweetly with the promise of dreams and pillow-related comfort. Night all.",認為oviedo玩得很棒（因為它應該是。睡覺,0,1,0,0,1
"just made a nucketful of cookies and a bunch of baked fries. :) Yes, I am awesome.",只是做了一個叮咬的餅乾和一堆烤的薯條。 :)是的，我很棒。,0,1,0,0,1
"has made more cookies, as well as a bunch of croissants for breakfast and piggies in various blankets for tomorrow afternoon. Despite the late//early hour, this is only further awesomeness.",已經製作了更多的餅乾，以及一堆早餐和豬餅，在明天下午的各種毯子裡。儘管較晚//早期，這只是進一步的驚人。,0,1,0,0,1
has a fair idea of how to manage the 2.5 kids cliche... She just needs a very strong gentleman named *PROPNAME* and thriteen wet napkins.,對如何管理2.5個孩子的陳詞濫調有一個公平的想法......她只需要一個名為* propname *和thriteen濕餐巾的非常強大的紳士。,0,1,0,0,1
saw Up. Also saw two Chuck Norris movies. FFFFFFFFFFFF- WEIRDEST MIX EVER.,鋸。還看到了兩個查克諾里斯電影。 Ffffffffffff-最奇怪的混合。,0,1,0,0,1
"has an Autobot lunchbox, and can therefore die happy now. :) In other news, she has also spent the last three hours on an off reading a webcomic that started in 1999.",有一個autobot午餐盒，因此現在可以快樂。 :)在其他新聞中，她還在最後三個小時內花了一個閱讀1999年開始的網絡來源。,0,1,0,0,1
", in the post office, with the long-overdue copy of Photoshop for a friend. I win at the game of Clue.",，在郵局，有了一個朋友的漂亮的photoshop副本。我贏了線索的比賽。,0,1,0,0,1
Clakclakclak rawrrrrr mel haxxxxxx RWRRRRRRRR LOLZLOLZLOLZLOLZ IM SO HOOD PUNK STOOPID YO,clakclakclak rawrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr lolzlolzlolzlolz我所以敞篷朋克踩到喲,0,1,0,0,1
We are not who you think we are. We are Golden.,我們不是你認為的。我們是金色的。,0,1,0,0,1
I am a lumberjack with a Castro Hat.,我是一個帶有卡斯特羅帽的伐木工人。,0,1,0,0,1
The day you wake up and realize you've just slept twelve hours and still want to sleep some more is the day you need to get back on a regular sleeping schedule.,你醒來並意識到你剛剛睡了12個小時，仍然想再睡覺了，這是你需要回到常規睡眠時間表的那一天。,0,1,0,0,1
actually doesn't mind coloring with markers as much as she thought. Yay for coloring vividly creepy villainesses! :D,實際上並不介意與她想像的標記著色。 yay用於著色生動地令人毛骨悚然的迷人別墅！ ：D.,0,1,0,0,1
thinks maybe singing along with the radio during most of the eight-hour ride home didn't help her throat//cough//chestcold thingvery much.,認為可能在八個小時的大多數騎車家中與廣播一起唱歌並沒有幫助她的喉嚨// choxcold yourmery。,0,1,0,0,1
drove to a gas station. Number of times sent into a panic behind the wheel: 6. I hate 40 mph zones. D;,開車到加油站。送入車輪後面恐慌的次數：6。我討厭40英里/小時。 D;,0,1,0,0,1
"A Great New Year to everybody. :) <3 Make the best of everything you see, and never let the bad stuff keep you down for long!",每個人都有一個偉大的新年。 :) <3充分利用你所看到的所有東西，永遠不要讓壞東西讓你失望！,0,1,0,0,1
"has 48 hours to do pretty much all her break work, clean her room, do the dishes, rearrange the furniture in her room, and practive drop spins maybe a dozen more times. XD Why not, right?",有48個小時做幾乎所有她的休息工作，清潔她的房間，做菜，重新排列她的房間家具，練習掉落旋轉也許十幾次。 XD為什麼不，對嗎？,0,1,0,0,1
is open to requests.,是向請求開放。,0,1,0,0,1
is frankly at a loss as far as her current internal project.,坦率地暫時虧本，就像她目前的內部項目一樣。,0,1,0,0,1
